,subject,age,age_rounded,gender,question_type,trial_number,trial_type,correct,trial_name
210,5ALPZR,3.69,3,f,easier,6,simple,1,Number3
211,5ALPZR,3.69,3,f,easier,7,complex,0,Process2
212,5ALPZR,3.69,3,f,easier,8,complex,1,Process3
213,5ALPZR,3.69,3,f,easier,9,complex,0,Probability
214,5ALPZR,3.69,3,f,easier,10,complex,1,Process1
215,5ALPZR,3.69,3,f,easier,11,agent,0,Cooperation
216,5ALPZR,3.69,3,f,easier,12,agent,0,Child_Adult
217,5ALPZR,3.69,3,f,easier,13,agent,1,Sling
218,JTK3GP,3.78,3,f,harder,1,simple,0,Stability1
219,JTK3GP,3.78,3,f,harder,2,simple,1,Number3
220,JTK3GP,3.78,3,f,harder,3,simple,0,Number2
221,JTK3GP,3.78,3,f,harder,4,simple,0,Num_Stab
222,JTK3GP,3.78,3,f,harder,5,simple,1,Number4
223,JTK3GP,3.78,3,f,harder,6,simple,0,Number1
224,JTK3GP,3.78,3,f,harder,7,complex,1,Process2
225,JTK3GP,3.78,3,f,harder,8,complex,0,Probability
226,JTK3GP,3.78,3,f,harder,9,complex,0,Process1
227,JTK3GP,3.78,3,f,harder,10,complex,1,Process3
228,JTK3GP,3.78,3,f,harder,11,agent,1,Cooperation
229,JTK3GP,3.78,3,f,harder,12,agent,0,Child_Adult
230,JTK3GP,3.78,3,f,harder,13,agent,1,Sling
231,CZAQ23,3.45,3,m,easier,1,simple,1,Stability1
232,CZAQ23,3.45,3,m,easier,2,simple,1,Number3
233,CZAQ23,3.45,3,m,easier,3,simple,0,Number1
234,CZAQ23,3.45,3,m,easier,4,simple,0,Number2
235,CZAQ23,3.45,3,m,easier,5,simple,0,Number4
236,CZAQ23,3.45,3,m,easier,6,simple,0,Num_Stab
237,CZAQ23,3.45,3,m,easier,7,complex,0,Probability
238,CZAQ23,3.45,3,m,easier,8,complex,0,Process1
239,CZAQ23,3.45,3,m,easier,9,complex,1,Process2
240,CZAQ23,3.45,3,m,easier,10,complex,0,Process3
241,CZAQ23,3.45,3,m,easier,11,agent,1,Cooperation
242,CZAQ23,3.45,3,m,easier,12,agent,0,Sling
243,CZAQ23,3.45,3,m,easier,13,agent,0,Child_Adult
244,FL2UZJ,3.2,3,f,easier,1,simple,1,Num_Stab
245,FL2UZJ,3.2,3,f,easier,2,simple,0,Number1
246,FL2UZJ,3.2,3,f,easier,3,simple,1,Number3
247,FL2UZJ,3.2,3,f,easier,4,simple,0,Stability1
248,FL2UZJ,3.2,3,f,easier,5,simple,0,Number2
249,FL2UZJ,3.2,3,f,easier,6,simple,0,Number4
250,FL2UZJ,3.2,3,f,easier,7,complex,1,Process2
251,FL2UZJ,3.2,3,f,easier,8,complex,1,Process1
252,FL2UZJ,3.2,3,f,easier,9,complex,0,Process3
253,FL2UZJ,3.2,3,f,easier,10,complex,0,Probability
254,FL2UZJ,3.2,3,f,easier,11,agent,1,Sling
255,FL2UZJ,3.2,3,f,easier,12,agent,0,Child_Adult
256,FL2UZJ,3.2,3,f,easier,13,agent,0,Cooperation
257,RHZS34,3.94,3,f,harder,1,simple,1,Number4
258,RHZS34,3.94,3,f,harder,2,simple,1,Number1
259,RHZS34,3.94,3,f,harder,3,simple,1,Number2
260,RHZS34,3.94,3,f,harder,4,simple,1,Number3
261,RHZS34,3.94,3,f,harder,5,simple,1,Stability1
262,RHZS34,3.94,3,f,harder,6,simple,1,Num_Stab
263,RHZS34,3.94,3,f,harder,7,complex,1,Process3
264,RHZS34,3.94,3,f,harder,8,complex,0,Process2
265,RHZS34,3.94,3,f,harder,9,complex,1,Process1
266,RHZS34,3.94,3,f,harder,10,complex,0,Probability
267,RHZS34,3.94,3,f,harder,11,agent,0,Cooperation
268,RHZS34,3.94,3,f,harder,12,agent,1,Sling
269,RHZS34,3.94,3,f,harder,13,agent,1,Child_Adult
270,CY73F2,3.28,3,m,easier,1,simple,0,Stability1
271,CY73F2,3.28,3,m,easier,2,simple,0,Number3
272,CY73F2,3.28,3,m,easier,3,simple,0,Number2
273,CY73F2,3.28,3,m,easier,4,simple,0,Number1
274,CY73F2,3.28,3,m,easier,5,simple,1,Num_Stab
275,CY73F2,3.28,3,m,easier,6,simple,0,Number4
276,CY73F2,3.28,3,m,easier,7,complex,0,Process2
277,CY73F2,3.28,3,m,easier,8,complex,1,Process3
278,CY73F2,3.28,3,m,easier,9,complex,0,Probability
279,CY73F2,3.28,3,m,easier,10,complex,1,Process1
280,CY73F2,3.28,3,m,easier,11,agent,1,Sling
281,CY73F2,3.28,3,m,easier,12,agent,0,Child_Adult
282,CY73F2,3.28,3,m,easier,13,agent,0,Cooperation
283,MDY4TJ,3.04,3,f,easier,1,simple,0,Num_Stab
284,MDY4TJ,3.04,3,f,easier,2,simple,1,Stability1
285,MDY4TJ,3.04,3,f,easier,3,simple,0,Number3
286,MDY4TJ,3.04,3,f,easier,4,simple,0,Number1
287,MDY4TJ,3.04,3,f,easier,5,simple,1,Number2
288,MDY4TJ,3.04,3,f,easier,6,simple,0,Number4
289,MDY4TJ,3.04,3,f,easier,7,complex,0,Process2
290,MDY4TJ,3.04,3,f,easier,8,complex,0,Process3
291,MDY4TJ,3.04,3,f,easier,9,complex,0,Process1
