trial_name,run_num,trial_tree_path,trial_symbolic_plan,trial_symbolic_plan_len,KE,total_instability
diff 20_1,1,1_1_20_1_19_1_18_1_17_1_16_1_15_1_14_1_13_1_12_1_11_1_12_1_11_1_10_1_11_1_11_1_10_1_10_1_11_1_10_1_9_1_11_1_11_1_10_1_11_1,"[[GL b14], [FL b14 table], [GL b0], [FL b0 table], [GR b7], [FR b7 table], [GL b15], [FL b15 b14], [GR b1], [FR b1 b0], [GR b8], [FR b8 b7], [GL b16], [FL b16 b15], [GR b2], [FR b2 b1], [GR b9], [FR b9 b8], [GL b17], [FL b17 b16], [GL b3], [FL b3 b2], [GL b2], [FL b2 b1], [GL b3], [FL b3 b2], [GR b10], [FR b10 b9], [GR b9], [FR b9 b8], [GL b9], [FL b9 b8], [GR b10], [FR b10 b9], [GR b10], [FR b10 b9], [GR b9], [FR b9 b8], [GR b10], [FR b10 b9], [GL b18], [FL b18 b17], [GR b16], [FR b16 b15], [GR b16], [FR b16 b15], [GR b17], [FR b17 b16], [GR b16], [FR b16 b15]]",50,1256.03049,10
diff 33_2,1,1_1_11_1_10_1_9_1_8_1_7_1_6_1_5_1_4_1_3_1_2_1_1_1,"[[GL b3], [FL b3 table], [GR c0], [FR c0 table], [GL c3], [FL c3 b3], [GR b0], [FR b0 c0], [GL b4], [FL b4 c3], [GR c1], [FR c1 b0], [GL c4], [FL c4 b4], [GR b1], [FR b1 c1], [GL b5], [FL b5 c4], [GR c2], [FR c2 b1], [GL c5], [FL c5 b5], [GR b2], [FR b2 c2]]",24,615.23945,0
diff 29_2,1,1_1_14_1_13_1_12_1_11_1_10_1_9_1_8_1_7_1_6_1_5_1_4_1_3_1_2_1_1_1,"[[GR b2], [FR b2 table], [GL b14], [FL b14 table], [GL b1], [FL b1 table], [GL b13], [FL b13 table], [GR b0], [FR b0 table], [GL b12], [FL b12 table], [GR b3], [FR b3 table], [GR b4], [FR b4 table], [GR b5], [FR b5 table], [GL b9], [FL b9 table], [GL b10], [FL b10 table], [GR b6], [FR b6 table], [GL b11], [FL b11 table], [GR b7], [FR b7 table], [GR b8], [FR b8 table]]",30,664.88485,0
diff 57_1,1,1_1_2_1_1_1_3_1_2_1_1_1,"[[GR b0], [FR b0 c1], [GR b1], [FR b1 b0], [GL b2], [FL b2 b1], [GR b0], [FR b0 c1], [GR b1], [FR b1 b0], [GR b2], [FR b2 b1]]",12,278.64898,1
diff 53_1,1,1_1_8_1_7_1_6_1_5_1_4_1_3_1_2_1_1_1,"[[GL b1], [FL b1 table], [GL b0], [FL b0 table], [GR b2], [FR b2 table], [GL b4], [FL b4 b1], [GL b3], [FL b3 b0], [GR b5], [FR b5 b2], [GL b7], [FL b7 b4], [GL b6], [FL b6 b3], [GR b8], [FR b8 b5]]",18,374.19588,0
diff 30_2,1,1_1_14_1_13_1_12_1_11_1_10_1_9_1_8_1_7_1_6_1_5_1_4_1_3_1_2_1_1_1,"[[GL b0], [FL b0 table], [GL b1], [FL b1 table], [GL b2], [FL b2 table], [GL b3], [FL b3 table], [GL b4], [FL b4 table], [GL b5], [FL b5 table], [GL b6], [FL b6 table], [GL b7], [FL b7 table], [GR b8], [FR b8 table], [GR b9], [FR b9 table], [GR b10], [FR b10 table], [GR b11], [FR b11 table], [GR b12], [FR b12 table], [GR b13], [FR b13 table], [GR b14], [FR b14 table]]",30,525.71026,0
diff 52_1,1,1_1_9_1_8_1_7_1_6_1_5_1_4_1_3_1_2_1_1_1,"[[GL b9], [FL b9 table], [GL b8], [FL b8 table], [GL b7], [FL b7 table], [GL b6], [FL b6 table], [GL b5], [FL b5 table], [GL b4], [FL b4 table], [GR b3], [FR b3 table], [GR b2], [FR b2 table], [GR b1], [FR b1 table], [GR b0], [FR b0 table]]",20,400.39836,0
diff 55_1,1,1_1_9_1_8_1_7_1_6_1_5_1_4_1_3_1_2_1_1_1,"[[GL b0], [FL b0 table], [GL b1], [FL b1 table], [GR b2], [FR b2 table], [GR b3], [FR b3 table], [GR b4], [FR b4 table], [GL b5], [FL b5 b0], [GL b6], [FL b6 b5], [GL b7], [FL b7 b6], [GL b8], [FL b8 b7], [GL b9], [FL b9 b8]]",20,395.93366,0
diff 26_2,1,1_1_15_1_14_1_13_1_12_1_11_1_10_1_9_1_8_1_7_1_6_1_5_1_5_1_4_1_6_1_5_1_4_1_3_1_4_1_4_1_4_1_4_1_4_1_3_1_2_1,"[[GL b8], [FL b8 table], [GL b4], [FL b4 table], [GR b0], [FR b0 table], [GR b12], [FR b12 table], [GR b9], [FR b9 b8], [GL b5], [FL b5 b4], [GR b1], [FR b1 b0], [GR b13], [FR b13 b12], [GL b10], [FL b10 b9], [GL b6], [FL b6 b5], [GR b2], [FR b2 b1], [GR b14], [FR b14 b13], [GL b14], [FL b14 b13], [GR b11], [FR b11 b10], [GR b9], [FR b9 b8], [GR b10], [FR b10 b9], [GL b11], [FL b11 b10], [GL b7], [FL b7 b6], [GL b6], [FL b6 b5], [GL b6], [FL b6 b5], [GR b6], [FR b6 b5], [GR b6], [FR b6 b5], [GL b6], [FL b6 b5], [GL b7], [FL b7 b6], [GR b3], [FR b3 b2]]",50,1119.19218,7
diff 33_1,1,1_1_11_1_10_1_9_1_8_1_7_1_6_1_5_1_4_1_3_1_4_1_3_1_2_1_1_1_2_1_2_1_1_1_2_1_1_1,"[[GL b6], [FL b6 table], [GR b0], [FR b0 table], [GL b7], [FL b7 b6], [GR b1], [FR b1 b0], [GL b8], [FL b8 b7], [GR b2], [FR b2 b1], [GL b9], [FL b9 b8], [GL b3], [FL b3 b2], [GL b10], [FL b10 b9], [GR b4], [FR b4 b3], [GR b3], [FR b3 b2], [GR b4], [FR b4 b3], [GL b11], [FL b11 b10], [GR b5], [FR b5 b4], [GR b11], [FR b11 b10], [GR b11], [FR b11 b10], [GL b5], [FL b5 b4], [GL b11], [FL b11 b10], [GR b5], [FR b5 b4]]",38,1061.1287,3
